artist,album,play_count
The Agonist,Orphans,8
The Skatalites,On The Right Track,8
Epica,The Holographic Principle,5
Greta Van Fleet,From The Fires,5
Velvet Revolver,Libertad,5
Children of Bodom,Hexed (Deluxe Version),4
Greta Van Fleet,Anthem of the Peaceful Army,4
Haggard,Awaking The Centuries,4
The Agonist,Prisoners,4
Velvet Revolver,Contraband,4
Arch Enemy,War Eternal,3
Audioslave,Audioslave,3
Jinjer,King of Everything,3
Polyphia,Renaissance,3
The Pigeon Detectives,Wait For Me,3
Ben Böhmer,Breathing,2
Children of Bodom,Follow the Reaper,2
CHON,Grow,2
Dash Berlin,The New Daylight (Bonus Track Version),2
David Bowie,Diamond Dogs (2016 Remaster),2
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),2
deadmau5,The Veldt,2
Eluveitie,Ategnatos,2
Eluveitie,Helvetios,2
Eluveitie,Slania,2
Insomnium,Shadows Of The Dying Sun,2
Jinjer,Cloud Factory (Re-Issue),2
Jinjer,Macro,2
Johan Gielen,Trance Classics By Johan Gielen,2
Look See Proof,Tell Me Tell Me Tell Me,2
Monolink,Father Ocean,2
Omnium Gatherum,Grey Heavens,2
Omnium Gatherum,New World Shadows,2
Scott Bradlee's Postmodern Jukebox,33 Resolutions Per Minute,2
Scott Bradlee's Postmodern Jukebox,"BACK When They Called It Music: The '90s, Vol. 1",2
Scott Bradlee's Postmodern Jukebox,OK Crooner,2
Scott Bradlee's Postmodern Jukebox,Sepia Is The New Orange,2
The Agonist,Five,2
The Strokes,Future Present Past,2
Aetherian,The Untamed Wilderness,1
Arch Enemy,Doomsday Machine,1
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",1
Armin van Buuren,Again,1
Audioslave,Out of Exile,1
Audioslave,Revelations,1
Be'lakor,Stone's Reach,1
Ben Böhmer,Anjunadeep 10,1
Ben Böhmer,Cappadocia,1
Ben Böhmer,Live from Printworks London,1
Ben Böhmer,Promise You EP,1
Ben Böhmer,Vom Menschen,1
Ben Böhmer & Wood,Breathing,1
Benjamin Francis Leftwich,A Million Miles Out,1
Children of Bodom,Are You Dead Yet?,1
Children of Bodom,Hatebreeder,1
CHON,Homey,1
Dash Berlin,The New Daylight,1
Dash Berlin,Till the Sky Falls Down,1
David Bowie,Heroes (1999 Remaster),1
deadmau5,W:/2016ALBUM/,1
Eluveitie,Evocation I - The Arcane Dominion,1
Eluveitie,Origins,1
Faul & Wad Ad,Changes,1
Ghost,Dance Macabre,1
Ghost,De Afrekening 65,1
Ghost,Meliora,1
Ghost,Popestar,1
Ghost,Prequelle,1
Greta Van Fleet,Spotify Singles,1
Haggard,And Thou Shalt Trust the Seer,1
Haggard,Tales of Thiria,1
Iggy Pop,Brick By Brick,1
Insomnium,Heart Like a Grave (Bonus Tracks Version),1
Insomnium,In the Halls of Awaiting,1
Insomnium,Valediction,1
Ivy Crown,Echo,1
Jan Blomqvist,The Space in Between (Ben Böhmer Remix),1
Jinjer,Micro,1
Jinjer,No Hoard of Value,1
Joy Division,Unknown Pleasures,1
Kaskade,Beneath with Me (feat. Skylar Grey),1
Kim Carnes,Bette Davis Eyes,1
Laura Veirs,July Flame,1
Led Zeppelin,Celebration Day,1
Led Zeppelin,Led Zeppelin II (1994 Remaster),1
Led Zeppelin,Led Zeppelin III (Remaster),1
Led Zeppelin,Led Zeppelin IV (Deluxe Edition),1
Led Zeppelin,The Complete BBC Sessions,1
Metallica,"Garage, Inc.",1
Metallica,Master of Puppets,1
Milky Chance,Stolen Dance,1
Monolink,sunshine live Vol. 67,1
Morgan Page,The Longest Road,1
Morrissey,Years of Refusal,1
Mors Principium Est,Seven,1
Mouse on the Keys,An Anxious Object,1
New Order,Singles (2016 Remaster),1
Omnium Gatherum,Beyond,1
Omnium Gatherum,Chaospace,1
Omnium Gatherum,The Burning Cold,1
Paul van Dyk,Shine Ibiza Anthem 2019,1
Pink Floyd,Animals,1
Polyphia,Muse,1
Powerwolf,The Sacrament Of Sin (Deluxe Version),1
Rey Pila,The Future Sugar,1
Rey Pila,Velox Veritas,1
Rush,Moving Pictures,1
Rush,Permanent Waves,1
Scott Bradlee's Postmodern Jukebox,Jazz Age Thirst Trap,1
Scott Bradlee's Postmodern Jukebox,"So, You Think You Can Sing? Vol. 5 (Official PMJ Karaoke Tracks)",1
Scott Bradlee's Postmodern Jukebox,Squad Goals,1
Scott Bradlee's Postmodern Jukebox,The Essentials II,1
Sonata Arctica,Ecliptica,1
The Agonist,Eye of Providence,1
The Agonist,Lullabies Of The Dormant Mind,1
The Agonist,Once Only Imagined,1
The Cinematics,A Strange Education,1
The Holloways,So This Is Great Britain?,1
The Interrupters,Say It Out Loud,1
The Interrupters,She's Kerosene,1
The Oh Hellos,Like The Dawn (David K. Radio Mix),1
The Pigeon Detectives,Wait for Me (10th Anniversary Deluxe Edition),1
The Skatalites,From Paris With Love,1
The Skatalites,Greetings From Skamania,1
The Skatalites,Lucky Seven,1
The Skatalites,Return of the Big Guns,1
The Skatalites,Treasure Isle,1
The Stone Roses,The Stone Roses,1
The Strokes,Angles,1
The Strokes,Bad Decisions,1
The Strokes,First Impressions of Earth,1
The Strokes,Someday,1
The Strokes,The New Abnormal,1
Trivium,The Sin And The Sentence,1
Unleash the Archers,Demons of the AstroWaste,1
