name,place_full,place_count,lat,lng
Led Zeppelin,"London, England, United Kingdom",3,51.5073219,-0.1276474
Audioslave,"Los Angeles, Los Angeles County, California, United States",4,34.0536909,-118.2427666
Velvet Revolver,"Rancho Santa Margarita, Orange County, California, United States",1,33.6408845,-117.6029341
Ivy Crown,"Copenhagen, Capital Region of Denmark, Denmark",1,55.6867243,12.5700724
The Agonist,"Montreal, Montreal, Quebec, Canada",1,45.4972159,-73.6103642
Benjamin Francis Leftwich,"York, England, United Kingdom",1,53.9590555,-1.0815361
Milky Chance,"Kassel, Hessen, Germany",1,51.3154546,9.4924096
Laura Veirs,"Colorado Springs, El Paso County, Colorado, United States",1,38.8339578,-104.8253485
Eluveitie,"Winterthur, Zürich, Switzerland",1,47.4991723,8.7291498
Omnium Gatherum,"Kotka, Kymenlaakso, Finland",1,60.4674228,26.9450844
Unleash the Archers,"Vancouver, Metro Vancouver, British Columbia, Canada",1,49.2608724,-123.1139529
deadmau5,"Ontario, Canada",1,25.7937597,-100.2725777
Jan Blomqvist,Germany,1,51.0834196,10.4234469
Ben Böhmer,"Berlin, Germany",1,52.5170365,13.3888599
Dash Berlin,"The Hague, Zuid-Holland, Netherlands, Kingdom of the Netherlands",1,52.0799838,4.3113461
Armin van Buuren,"Leiden, Zuid-Holland, Netherlands, Kingdom of the Netherlands",1,52.1518157,4.4811088666204295
Paul van Dyk,"Eisenhüttenstadt, Brandenburg, Germany",1,52.1448863,14.6294413
Haggard,"Munich, Bayern, Germany",1,48.1371079,11.5753822
Trivium,"Orlando, Orange County, Florida, United States",1,28.5421109,-81.3790304
Children of Bodom,"Espoo, Uusimaa, Finland",1,60.2241869,24.6603626
Greta Van Fleet,"Frankenmuth, Michigan, United States",1,43.331787,-83.738054
The Skatalites,"Kingston, Jamaica",1,17.9712148,-76.7928128
Be'lakor,"Melbourne, Victoria, Australia",1,-37.8142176,144.9631608
Aetherian,"Athens, Attiki, Greece",1,37.9839412,23.7283052
Sonata Arctica,"Kemi, Lappi, Finland",1,65.7333404,24.5666495
Insomnium,"Joensuu, Pohjois-Karjala, Finland",1,62.6006257,29.7584591
CHON,"San Diego, San Diego County, California, United States",1,32.7174209,-117.1627714
Polyphia,"Dallas, Dallas County, Texas, United States",1,32.7762719,-96.7968559
The Strokes,"New York, New York, United States",1,40.7127281,-74.0060152
Mors Principium Est,"Pori, Satakunta, Finland",1,61.4865542,21.7968951
The Interrupters,"Los Angeles, Los Angeles County, California, United States",4,34.0536909,-118.2427666
Kaskade,"Chicago, Cook County, Illinois, United States",1,41.8755616,-87.6244212
The Pigeon Detectives,"Leeds, Leeds, West Yorkshire, England, United Kingdom",1,53.794414,-1.548621
The Holloways,"London, England, United Kingdom",3,51.5073219,-0.1276474
Look See Proof,"Hertfordshire, England, United Kingdom",1,51.840052299999996,-0.09785519224523963
Totorro,"Rennes, Ille-et-Vilaine, Bretagne, France",1,48.1113387,-1.6800198
Metallica,"Los Angeles, Los Angeles County, California, United States",4,34.0536909,-118.2427666
Pink Floyd,"London, England, United Kingdom",3,51.5073219,-0.1276474
Rush,"Toronto, Ontario, Canada",1,43.6534817,-79.3839347
The Stone Roses,"Manchester, Greater Manchester, England, United Kingdom",1,53.4794892,-2.2451148
Arctic Monkeys,"High Green, Sheffield, South Yorkshire, England, United Kingdom",1,53.4742151,-1.493166
Rey Pila,"Ciudad de México, Mexico",1,19.3997047,-99.1248161
Morrissey,"Davyhulme, Trafford, Greater Manchester, England, United Kingdom",1,53.4546079,-2.3677347
Kim Carnes,"Los Angeles, Los Angeles County, California, United States",4,34.0536909,-118.2427666
Iggy Pop,"Muskegon, Muskegon County, Michigan, United States",1,43.2341813,-86.2483921
mouse on the keys,Japan,1,36.5748441,139.2394179
